SOMA3;GRUPO SOMA;ON      NM;489.194.623;0,317;
HAPV3;HAPVIDA;ON      NM;1.306.955.040;0,761;
HYPE3;HYPERA;ON      NM;410.253.528;0,594;
IGTI11;IGUATEMI S.A;UNT     N1;169.637.560;0,149;
GNDI3;INTERMEDICA;ON      NM;592.114.608;1,969;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,178;
ITSA4;ITAUSA;PN      N1;4.736.048.447;2,278;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.780.002.924;5,700;
JBSS3;JBS;ON      NM;1.290.736.673;2,070;
JHSF3;JHSF PART;ON      NM;305.915.142;0,085;
KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,963;
RENT3;LOCALIZA;ON      NM;593.944.309;1,592;
LCAM3;LOCAMERICA;ON      NM;324.522.975;0,384;
LWSA3;LOCAWEB;ON      NM;431.783.548;0,197;
LREN3;LOJAS RENNER;ON      NM;979.060.006;1,201;
MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,859;
MRFG3;MARFRIG;ON      NM;348.234.011;0,331;
CASH3;MELIUZ;ON      NM;548.153.725;0,074;
BEEF3;MINERVA;ON      NM;254.073.639;0,108;
MRVE3;MRV;ON      NM;294.643.879;0,172;
MULT3;MULTIPLAN;ON      N2;272.718.548;0,264;
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,158;
PETR3;PETROBRAS;ON      N2;2.703.343.822;4,546;
PETR4;PETROBRAS;PN      N2;4.566.442.248;6,978;
PRIO3;PETRORIO;ON      NM;839.159.130;0,959;
PETZ3;PETZ;ON      NM;301.553.522;0,250;
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,033;
QUAL3;QUALICORP;ON      NM;277.027.077;0,223;
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,103;
RDOR3;REDE D OR;ON      NM;562.360.943;1,204;
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,869;
SBSP3;SABESP;ON      NM;340.001.934;0,571;
SANB11;SANTANDER BR;UNT;362.703.399;0,548;
CSNA3;SID NACIONAL;ON;642.398.790;0,801;
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,320;
SUZB3;SUZANO S.A.;ON      NM;726.779.281;2,062;
TAEE11;TAESA;UNT     N2;218.568.234;0,385;
VIVT3;TELEF BRASIL;ON;433.476.952;1,009;
TIMS3;TIM;ON      NM;808.619.532;0,504;
TOTS3;TOTVS;ON      NM;519.851.955;0,693;
UGPA3;ULTRAPAR;ON      NM;1.085.952.374;0,738;
USIM5;USIMINAS;PNA     N1;514.680.651;0,393;
VALE3;VALE;ON      NM;3.843.570.705;15,837;
VIIA3;VIA;ON      NM;1.596.295.753;0,315;
VBBR3;VIBRA;ON      NM;1.131.883.365;1,200;
WEGE3;WEG;ON      NM;1.484.859.030;2,145;
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,305;
